"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","calib_acc","sample"
"FlowOCT","breast-cancer_enc.csv",207,4,0.1,600,9,-27.50000000000071,0.8599033816425121,98.70281214318241,10347.0,601.8635594844818,0,0,0,0,0.7,0.8840579710144928,1
"binOCT","breast-cancer_enc.csv",207,4,0.1,600,9,32.99999914744309,0.8405797101449275,100.0,116636.0,604.3901791572571,0,0,0,0,0.7428571428571429,0.855072463768116,1
"OCT","breast-cancer_enc.csv",207,4,0.1,600,9,2939.2000000000007,0.782608695652174,1.4017419706042396,549.0,603.1534335613251,0,0,0,0,0.7142857142857143,0.782608695652174,1
"Cart","breast-cancer_enc.csv",207,4,0.1,600,"NA","NA",0.6908212560386473,"NA","NA",0.001996278762817383,"NA","NA","NA","NA",0.7571428571428571,0.6956521739130435,2
"BendersOCT","breast-cancer_enc.csv",207,4,0.1,600,9,-27.600000000000705,0.8599033816425121,98.18840579710118,34114.0,600.0209910869598,6.006493330001831,5.755229711532593,146,127,0.6571428571428571,0.855072463768116,2
"FlowOCT","breast-cancer_enc.csv",207,4,0.1,600,9,-27.600000000000733,0.8599033816425121,98.68409353605828,10347.0,601.8818295001984,0,0,0,0,0.5428571428571428,0.8985507246376812,2
"binOCT","breast-cancer_enc.csv",207,4,0.1,600,9,27.99999999999998,0.8647342995169082,100.0,53559.0,604.3805401325226,0,0,0,0,0.5428571428571428,0.855072463768116,2
"OCT","breast-cancer_enc.csv",207,4,0.1,600,9,2946.4000000000005,0.821256038647343,1.1539505837632362,678.0,603.0994827747345,0,0,0,0,0.5571428571428572,0.8260869565217391,2
"Cart","breast-cancer_enc.csv",207,4,0.1,600,"NA","NA",0.7101449275362319,"NA","NA",0.001995563507080078,"NA","NA","NA","NA",0.7,0.7246376811594203,3
"BendersOCT","breast-cancer_enc.csv",207,4,0.1,600,9,-25.800000000000722,0.8695652173913043,98.07450373795355,33784.0,600.0178151130676,6.683766841888428,6.3664538860321045,167,142,0.7142857142857143,0.9130434782608695,3
