approach,dataset,nrow,depth,lambda,time_limit,status,obj_value,train_acc,gap,node_count,solving_time,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc,test_acc,calib_acc,sample,warmstart
binOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,267.0,0.7939814814814815,100.0,2157.0,615.610901594162,0.0,0.0,0.0,0.0,0.7847222222222222,0.7873831775700935,4,
OCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-inf,,inf,1.0,611.7108814716339,0.0,0.0,0.0,0.0,,,4,
BendersOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,-205.29999999999404,0.8248456790123457,99.80516317583984,4389.0,600.0406346321106,26.335463285446167,25.611371994018555,152.0,139.0,0.8009259259259259,0.8084112149532711,1,
FlowOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,-353.69999999999504,0.6967592592592593,3957.251908396205,1.0,614.8776879310608,0.0,0.0,0.0,0.0,0.7106481481481481,0.6752336448598131,1,
binOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,317.9999999999967,0.7546296296296297,100.0,523.0,639.8907315731049,0.0,0.0,0.0,0.0,0.75,0.7336448598130841,1,
OCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,-inf,,inf,1.0,628.6234755516052,0.0,0.0,0.0,0.0,,,1,
BendersOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,-210.89999999999367,0.8209876543209876,99.813846909939,4701.0,600.0391981601715,29.26342391967773,28.536489725112915,157.0,146.0,0.8009259259259259,0.8060747663551402,2,
FlowOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,-359.0999999999949,0.6921296296296297,3897.7443609015,1.0,614.701708316803,0.0,0.0,0.0,0.0,0.7245370370370371,0.6728971962616822,2,
binOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,236.99999999999795,0.8171296296296297,100.0,523.0,639.4540045261383,0.0,0.0,0.0,0.0,0.7916666666666666,0.8037383177570093,2,
OCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,36964.80000000002,0.6921296296296297,0.9738994935722628,1.0,629.2361481189728,0.0,0.0,0.0,0.0,0.7245370370370371,0.6728971962616822,2,
BendersOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,-164.99999999999363,0.8595679012345679,99.75757575757514,4185.0,600.0578894615173,26.03199148178101,25.14336919784546,158.0,144.0,0.8310185185185185,0.8644859813084113,3,
FlowOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,-349.19999999999493,0.7006172839506173,4008.247422679656,1.0,614.8616714477539,0.0,0.0,0.0,0.0,0.6990740740740741,0.7219626168224299,3,
binOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,211.9999999999947,0.8364197530864198,100.0,523.0,635.6431286334991,0.0,0.0,0.0,0.0,0.8240740740740741,0.8457943925233645,3,
OCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,36974.70000000002,0.7006172839506173,0.9468636662366384,1.0,627.9543333053589,0.0,0.0,0.0,0.0,0.6990740740740741,0.7219626168224299,3,
BendersOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,-211.199999999994,0.8194444444444444,99.8084742500142,3880.0,600.0501477718353,30.88911175727844,30.1281099319458,153.0,140.0,0.8194444444444444,0.8107476635514018,4,
FlowOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,-354.5999999999949,0.6959876543209876,3947.208121826647,1.0,615.156224489212,0.0,0.0,0.0,0.0,0.7129629629629629,0.6822429906542056,4,
binOCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,219.0,0.8310185185185185,100.0,522.0,637.7443089485168,0.0,0.0,0.0,0.0,0.8402777777777778,0.8247663551401869,4,
OCT,car_evaluation_enc.csv,1296,5,0.1,600,9.0,36969.30000000002,0.6959876543209876,0.9616086861260555,1.0,627.2457354068756,0.0,0.0,0.0,0.0,0.7129629629629629,0.6822429906542056,4,
BendersOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,42.0,0.3226871490478515,0.1423346996307373,0.134709358215332,19.0,17.0,1.0,1.0,1,1.0
Cart,synthetic100_10_2.csv,75,2,0.0,600,,,0.96,,,0.0030329227447509,,,,,1.0,0.96,1,
FlowOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,77.0,0.5335960388183594,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
binOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,1.0,0.3851082324981689,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
OCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,54.0,0.990624189376831,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
BendersOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,8.0,0.221433401107788,0.148555040359497,0.1376233100891113,20.0,17.0,1.0,1.0,2,1.0
Cart,synthetic100_10_2.csv,75,2,0.0,600,,,0.9733333333333334,,,0.0019919872283935,,,,,0.96,0.96,2,
FlowOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,107.0,0.7898833751678467,0.0,0.0,0.0,0.0,0.92,1.0,2,1.0
binOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,256.0,0.5439207553863525,0.0,0.0,0.0,0.0,0.92,1.0,2,1.0
OCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,1.0,0.289233922958374,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
BendersOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,77.0,0.3434388637542724,0.2308294773101806,0.2238481044769287,18.0,16.0,1.0,1.0,3,1.0
Cart,synthetic100_10_2.csv,75,2,0.0,600,,,0.9733333333333334,,,0.0019998550415039,,,,,0.96,0.96,3,
FlowOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,1.0,0.3700079917907715,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
binOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,318.0,0.6910648345947266,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
OCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,274.0,1.721452236175537,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
BendersOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,148.0,0.7320353984832764,0.4169328212738037,0.4039595127105713,18.0,16.0,1.0,1.0,4,1.0
Cart,synthetic100_10_2.csv,75,2,0.0,600,,,0.9733333333333334,,,0.002986192703247,,,,,0.88,1.0,4,
FlowOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,82.0,0.7976279258728027,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
binOCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,139.0,0.6516861915588379,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
OCT,synthetic100_10_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,1.0,0.7226521968841553,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
BendersOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,1870.0,5.180263996124268,0.7479226589202881,0.7090141773223877,31.0,27.0,1.0,1.0,1,1.0
Cart,synthetic100_10_3.csv,75,3,0.0,600,,,0.9466666666666668,,,0.0049850940704345,,,,,0.84,0.92,1,
FlowOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,6188.0,28.438995361328125,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
binOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,0.0,1.0,0.0,30670.0,44.59095525741577,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
OCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,600.0,1.0,0.0,1216.0,13.438212394714355,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
BendersOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,4139.0,7.422379493713379,0.5400400161743164,0.4694910049438476,59.0,45.0,1.0,1.0,2,1.0
Cart,synthetic100_10_3.csv,75,3,0.0,600,,,0.9466666666666668,,,0.0029892921447753,,,,,0.92,0.96,2,
