"approach","dataset","tdr","fdr","sample"
OCT,synthetic100_100_2.csv,1.0,0.0,3
Benders,synthetic100_100_2.csv,1.0,0.0,4
Cart,synthetic100_100_2.csv,0.6666666666666666,0.3333333333333333,4
Flow,synthetic100_100_2.csv,1.0,0.0,4
Bin,synthetic100_100_2.csv,1.0,0.0,4
OCT,synthetic100_100_2.csv,1.0,0.0,4
Benders,synthetic100_100_3.csv,0.42857142857142855,0.5714285714285714,1
Cart,synthetic100_100_3.csv,0.0,1.0,1
Flow,synthetic100_100_3.csv,0.42857142857142855,0.5714285714285714,1
Bin,synthetic100_100_3.csv,1.0,0.0,1
OCT,synthetic100_100_3.csv,0.7142857142857143,0.2857142857142857,1
Benders,synthetic100_100_3.csv,0.42857142857142855,0.5714285714285714,2
Cart,synthetic100_100_3.csv,0.0,1.0,2
Flow,synthetic100_100_3.csv,0.14285714285714285,0.8571428571428571,2
Bin,synthetic100_100_3.csv,0.42857142857142855,0.5714285714285714,2
OCT,synthetic100_100_3.csv,0.14285714285714285,0.8571428571428571,2
Benders,synthetic100_100_3.csv,0.5714285714285714,0.42857142857142855,3
Cart,synthetic100_100_3.csv,0.5714285714285714,0.42857142857142855,3
Flow,synthetic100_100_3.csv,0.7142857142857143,0.2857142857142857,3
Bin,synthetic100_100_3.csv,0.42857142857142855,0.5714285714285714,3
OCT,synthetic100_100_3.csv,0.5714285714285714,0.42857142857142855,3
Benders,synthetic100_100_3.csv,0.42857142857142855,0.5714285714285714,4
Cart,synthetic100_100_3.csv,0.5714285714285714,0.3333333333333333,4
Flow,synthetic100_100_3.csv,0.5714285714285714,0.42857142857142855,4
Bin,synthetic100_100_3.csv,0.5714285714285714,0.42857142857142855,4
OCT,synthetic100_100_3.csv,0.5714285714285714,0.42857142857142855,4
Benders,synthetic100_100_4.csv,0.0,1.0,1
Cart,synthetic100_100_4.csv,0.0,1.0,1
Flow,synthetic100_100_4.csv,0.08333333333333333,0.9090909090909091,1
Bin,synthetic100_100_4.csv,0.16666666666666666,0.8666666666666667,1
OCT,synthetic100_100_4.csv,0.0,1.0,1
Benders,synthetic100_100_4.csv,0.16666666666666666,0.8,2
Cart,synthetic100_100_4.csv,0.16666666666666666,0.7142857142857143,2
Flow,synthetic100_100_4.csv,0.16666666666666666,0.8461538461538461,2
Bin,synthetic100_100_4.csv,0.16666666666666666,0.8666666666666667,2
OCT,synthetic100_100_4.csv,0.3333333333333333,0.7333333333333333,2
Benders,synthetic100_100_4.csv,0.25,0.75,3
Cart,synthetic100_100_4.csv,0.08333333333333333,0.875,3
Flow,synthetic100_100_4.csv,0.16666666666666666,0.8,3
Bin,synthetic100_100_4.csv,0.08333333333333333,0.9333333333333333,3
OCT,synthetic100_100_4.csv,0.16666666666666666,0.8666666666666667,3
Benders,synthetic100_100_4.csv,0.16666666666666666,0.75,4
Cart,synthetic100_100_4.csv,0.16666666666666666,0.75,4
Flow,synthetic100_100_4.csv,0.16666666666666666,0.75,4
Bin,synthetic100_100_4.csv,0.25,0.8,4
OCT,synthetic100_100_4.csv,0.08333333333333333,0.9333333333333333,4
Benders,synthetic100_100_5.csv,0.26666666666666666,0.6666666666666666,1
Cart,synthetic100_100_5.csv,0.2,0.75,1
Flow,synthetic100_100_5.csv,0.26666666666666666,0.6666666666666666,1
Bin,synthetic100_100_5.csv,0.3333333333333333,0.8387096774193549,1
OCT,synthetic100_100_5.csv,0.2,0.88,1
Benders,synthetic100_100_5.csv,0.2,0.7,2
Cart,synthetic100_100_5.csv,0.26666666666666666,0.5555555555555556,2
Flow,synthetic100_100_5.csv,0.4,0.5384615384615384,2
Bin,synthetic100_100_5.csv,0.26666666666666666,0.8709677419354839,2
OCT,synthetic100_100_5.csv,0.06666666666666667,0.967741935483871,2
Benders,synthetic100_100_5.csv,0.2,0.9,3
Cart,synthetic100_100_5.csv,0.06666666666666667,0.9230769230769231,3
Flow,synthetic100_100_5.csv,0.2,0.8636363636363636,3
Bin,synthetic100_100_5.csv,0.13333333333333333,0.9354838709677419,3
OCT,synthetic100_100_5.csv,0.06666666666666667,0.967741935483871,3
Benders,synthetic100_100_5.csv,0.13333333333333333,0.8461538461538461,4
Cart,synthetic100_100_5.csv,0.2,0.7692307692307693,4
Flow,synthetic100_100_5.csv,0.26666666666666666,0.7894736842105263,4
Bin,synthetic100_100_5.csv,0.13333333333333333,0.9354838709677419,4
OCT,synthetic100_100_5.csv,0.2,0.88,4
Benders,synthetic500_10_2.csv,1.0,0.0,1
Cart,synthetic500_10_2.csv,0.6666666666666666,0.3333333333333333,1
Flow,synthetic500_10_2.csv,1.0,0.0,1
Bin,synthetic500_10_2.csv,1.0,0.0,1
OCT,synthetic500_10_2.csv,1.0,0.0,1
Benders,synthetic500_10_2.csv,1.0,0.0,2
Cart,synthetic500_10_2.csv,0.6666666666666666,0.3333333333333333,2
Flow,synthetic500_10_2.csv,1.0,0.0,2
Bin,synthetic500_10_2.csv,1.0,0.0,2
OCT,synthetic500_10_2.csv,1.0,0.0,2
Benders,synthetic500_10_2.csv,1.0,0.0,3
Cart,synthetic500_10_2.csv,0.6666666666666666,0.3333333333333333,3
Flow,synthetic500_10_2.csv,1.0,0.0,3
Bin,synthetic500_10_2.csv,1.0,0.0,3
OCT,synthetic500_10_2.csv,1.0,0.0,3
Benders,synthetic500_10_2.csv,1.0,0.0,4
Cart,synthetic500_10_2.csv,0.6666666666666666,0.3333333333333333,4
Flow,synthetic500_10_2.csv,1.0,0.0,4
Bin,synthetic500_10_2.csv,1.0,0.0,4
OCT,synthetic500_10_2.csv,1.0,0.0,4
Benders,synthetic500_10_3.csv,1.0,0.0,1
Cart,synthetic500_10_3.csv,0.5714285714285714,0.3333333333333333,1
Flow,synthetic500_10_3.csv,1.0,0.0,1
Bin,synthetic500_10_3.csv,1.0,0.0,1
OCT,synthetic500_10_3.csv,1.0,0.0,1
Benders,synthetic500_10_3.csv,0.8571428571428571,0.0,2
Cart,synthetic500_10_3.csv,0.5714285714285714,0.3333333333333333,2
Flow,synthetic500_10_3.csv,0.8571428571428571,0.14285714285714285,2
Bin,synthetic500_10_3.csv,0.8571428571428571,0.14285714285714285,2
OCT,synthetic500_10_3.csv,0.8571428571428571,0.14285714285714285,2
Benders,synthetic500_10_3.csv,1.0,0.0,3
Cart,synthetic500_10_3.csv,0.5714285714285714,0.3333333333333333,3
Flow,synthetic500_10_3.csv,1.0,0.0,3
Bin,synthetic500_10_3.csv,1.0,0.0,3
OCT,synthetic500_10_3.csv,0.5714285714285714,0.42857142857142855,3
Benders,synthetic500_10_3.csv,1.0,0.0,4
Cart,synthetic500_10_3.csv,0.5714285714285714,0.3333333333333333,4
Flow,synthetic500_10_3.csv,1.0,0.0,4
Bin,synthetic500_10_3.csv,1.0,0.0,4
OCT,synthetic500_10_3.csv,0.42857142857142855,0.5714285714285714,4
Benders,synthetic500_10_4.csv,0.6923076923076923,0.4,1
Cart,synthetic500_10_4.csv,0.6153846153846154,0.42857142857142855,1
Flow,synthetic500_10_4.csv,0.6923076923076923,0.3076923076923077,1
Bin,synthetic500_10_4.csv,0.6923076923076923,0.4,1
OCT,synthetic500_10_4.csv,0.6153846153846154,0.3333333333333333,1
Benders,synthetic500_10_4.csv,0.7692307692307693,0.3333333333333333,2
Cart,synthetic500_10_4.csv,0.5384615384615384,0.4166666666666667,2
Flow,synthetic500_10_4.csv,0.5384615384615384,0.5,2
Bin,synthetic500_10_4.csv,0.7692307692307693,0.3333333333333333,2
OCT,synthetic500_10_4.csv,0.6153846153846154,0.4666666666666667,2
Benders,synthetic500_10_4.csv,0.5384615384615384,0.5,3
Cart,synthetic500_10_4.csv,0.46153846153846156,0.5714285714285714,3
Flow,synthetic500_10_4.csv,0.7692307692307693,0.3333333333333333,3
Bin,synthetic500_10_4.csv,0.5384615384615384,0.5333333333333333,3
OCT,synthetic500_10_4.csv,0.6153846153846154,0.4666666666666667,3
Benders,synthetic500_10_4.csv,0.7692307692307693,0.3333333333333333,4
Cart,synthetic500_10_4.csv,0.6153846153846154,0.38461538461538464,4
Flow,synthetic500_10_4.csv,0.5384615384615384,0.5,4
Bin,synthetic500_10_4.csv,0.6923076923076923,0.4,4
OCT,synthetic500_10_4.csv,0.6153846153846154,0.4666666666666667,4
Benders,synthetic500_10_5.csv,0.6666666666666666,0.3548387096774194,1
Cart,synthetic500_10_5.csv,0.6,0.25,1
Flow,synthetic500_10_5.csv,0.6,0.3333333333333333,1
Bin,synthetic500_10_5.csv,0.7333333333333333,0.2903225806451613,1
OCT,synthetic500_10_5.csv,0.3333333333333333,0.47368421052631576,1
Benders,synthetic500_10_5.csv,0.7333333333333333,0.2903225806451613,2
Cart,synthetic500_10_5.csv,0.6333333333333333,0.24,2
Flow,synthetic500_10_5.csv,0.8,0.22580645161290322,2
Bin,synthetic500_10_5.csv,0.6666666666666666,0.3548387096774194,2
OCT,synthetic500_10_5.csv,0.6666666666666666,0.3548387096774194,2
Benders,synthetic500_10_5.csv,0.6666666666666666,0.3548387096774194,3
Cart,synthetic500_10_5.csv,0.6333333333333333,0.2692307692307692,3
Flow,synthetic500_10_5.csv,0.6666666666666666,0.3333333333333333,3
Bin,synthetic500_10_5.csv,0.7,0.3225806451612903,3
OCT,synthetic500_10_5.csv,0.5333333333333333,0.36,3
Benders,synthetic500_10_5.csv,0.6,0.41935483870967744,4
Cart,synthetic500_10_5.csv,0.7,0.16,4
Flow,synthetic500_10_5.csv,0.7333333333333333,0.18518518518518517,4
Bin,synthetic500_10_5.csv,0.7666666666666667,0.25806451612903225,4
OCT,synthetic500_10_5.csv,0.6666666666666666,0.2857142857142857,4
Benders,synthetic500_30_2.csv,1.0,0.0,1
Cart,synthetic500_30_2.csv,0.6666666666666666,0.3333333333333333,1
Flow,synthetic500_30_2.csv,1.0,0.0,1
Bin,synthetic500_30_2.csv,1.0,0.0,1
OCT,synthetic500_30_2.csv,1.0,0.0,1
Benders,synthetic500_30_2.csv,1.0,0.0,2
Cart,synthetic500_30_2.csv,0.6666666666666666,0.3333333333333333,2
Flow,synthetic500_30_2.csv,1.0,0.0,2
Bin,synthetic500_30_2.csv,1.0,0.0,2
OCT,synthetic500_30_2.csv,1.0,0.0,2
Benders,synthetic500_30_2.csv,1.0,0.0,3
Cart,synthetic500_30_2.csv,0.6666666666666666,0.3333333333333333,3
Flow,synthetic500_30_2.csv,1.0,0.0,3
Bin,synthetic500_30_2.csv,1.0,0.0,3
OCT,synthetic500_30_2.csv,1.0,0.0,3
Benders,synthetic500_30_2.csv,1.0,0.0,4
Cart,synthetic500_30_2.csv,0.6666666666666666,0.3333333333333333,4
Flow,synthetic500_30_2.csv,1.0,0.0,4
Bin,synthetic500_30_2.csv,1.0,0.0,4
OCT,synthetic500_30_2.csv,1.0,0.0,4
Benders,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,1
Cart,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,1
Flow,synthetic500_30_3.csv,0.6666666666666666,0.42857142857142855,1
Bin,synthetic500_30_3.csv,0.6666666666666666,0.42857142857142855,1
OCT,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,1
Benders,synthetic500_30_3.csv,0.8333333333333334,0.16666666666666666,2
Cart,synthetic500_30_3.csv,0.8333333333333334,0.0,2
Flow,synthetic500_30_3.csv,0.8333333333333334,0.16666666666666666,2
Bin,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,2
OCT,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,2
Benders,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,3
Cart,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,3
Flow,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,3
Bin,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,3
OCT,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,3
Benders,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,4
Cart,synthetic500_30_3.csv,0.8333333333333334,0.2857142857142857,4
Flow,synthetic500_30_3.csv,0.6666666666666666,0.42857142857142855,4
Bin,synthetic500_30_3.csv,0.6666666666666666,0.42857142857142855,4
OCT,synthetic500_30_3.csv,0.6666666666666666,0.42857142857142855,4
Benders,synthetic500_30_4.csv,0.5714285714285714,0.4666666666666667,1
Cart,synthetic500_30_4.csv,0.6428571428571429,0.4,1
Flow,synthetic500_30_4.csv,0.6428571428571429,0.4,1
Bin,synthetic500_30_4.csv,0.6428571428571429,0.4,1
OCT,synthetic500_30_4.csv,0.6428571428571429,0.4,1
Benders,synthetic500_30_4.csv,0.5,0.5333333333333333,2
Cart,synthetic500_30_4.csv,0.6428571428571429,0.4,2
Flow,synthetic500_30_4.csv,0.7142857142857143,0.3333333333333333,2
Bin,synthetic500_30_4.csv,0.6428571428571429,0.4,2
OCT,synthetic500_30_4.csv,0.6428571428571429,0.4,2
Benders,synthetic500_30_4.csv,0.42857142857142855,0.5384615384615384,3
Cart,synthetic500_30_4.csv,0.6428571428571429,0.4,3
Flow,synthetic500_30_4.csv,0.6428571428571429,0.4,3
Bin,synthetic500_30_4.csv,0.6428571428571429,0.4,3
OCT,synthetic500_30_4.csv,0.5714285714285714,0.4666666666666667,3
Benders,synthetic500_30_4.csv,0.35714285714285715,0.6666666666666666,4
Cart,synthetic500_30_4.csv,0.5714285714285714,0.4666666666666667,4
Flow,synthetic500_30_4.csv,0.5714285714285714,0.4666666666666667,4
Bin,synthetic500_30_4.csv,0.5714285714285714,0.4666666666666667,4
OCT,synthetic500_30_4.csv,0.5714285714285714,0.4666666666666667,4
Benders,synthetic500_30_5.csv,0.5517241379310345,0.4838709677419355,1
Cart,synthetic500_30_5.csv,0.5172413793103449,0.4444444444444444,1
Flow,synthetic500_30_5.csv,0.4827586206896552,0.48148148148148145,1
Bin,synthetic500_30_5.csv,0.5172413793103449,0.5161290322580645,1
OCT,synthetic500_30_5.csv,0.1724137931034483,0.6153846153846154,1
Benders,synthetic500_30_5.csv,0.5,0.5333333333333333,2
Cart,synthetic500_30_5.csv,0.5,0.46153846153846156,2
Flow,synthetic500_30_5.csv,0.5357142857142857,0.4230769230769231,2
Bin,synthetic500_30_5.csv,0.6428571428571429,0.41935483870967744,2
OCT,synthetic500_30_5.csv,,,2
Benders,synthetic500_30_5.csv,0.39285714285714285,0.6451612903225806,3
Cart,synthetic500_30_5.csv,0.6785714285714286,0.32142857142857145,3
Flow,synthetic500_30_5.csv,0.6785714285714286,0.32142857142857145,3
Bin,synthetic500_30_5.csv,0.75,0.3225806451612903,3
OCT,synthetic500_30_5.csv,0.5,0.5,3
Benders,synthetic500_30_5.csv,0.4642857142857143,0.5666666666666667,4
Cart,synthetic500_30_5.csv,0.5357142857142857,0.4444444444444444,4
Flow,synthetic500_30_5.csv,0.5714285714285714,0.42857142857142855,4
Bin,synthetic500_30_5.csv,0.6428571428571429,0.41935483870967744,4
OCT,synthetic500_30_5.csv,0.2857142857142857,0.7142857142857143,4
Benders,synthetic500_100_5.csv,0.17857142857142858,0.8333333333333334,2
Cart,synthetic500_100_5.csv,0.2857142857142857,0.7037037037037037,2
Flow,synthetic500_100_5.csv,0.2857142857142857,0.7037037037037037,2
Bin,synthetic500_100_5.csv,0.39285714285714285,0.6451612903225806,2
OCT,synthetic500_100_5.csv,,,2
Benders,synthetic500_100_5.csv,0.25,0.7741935483870968,3
Cart,synthetic500_100_5.csv,0.42857142857142855,0.5555555555555556,3
Flow,synthetic500_100_5.csv,0.42857142857142855,0.5555555555555556,3
Bin,synthetic500_100_5.csv,0.39285714285714285,0.6451612903225806,3
OCT,synthetic500_100_5.csv,,,3
Benders,synthetic500_100_5.csv,0.17857142857142858,0.8214285714285714,4
Cart,synthetic500_100_5.csv,0.32142857142857145,0.64,4
Flow,synthetic500_100_5.csv,0.39285714285714285,0.56,4
Bin,synthetic500_100_5.csv,0.32142857142857145,0.7096774193548387,4
OCT,synthetic500_100_5.csv,,,4
Benders,synthetic2500_10_2.csv,1.0,0.0,1
Cart,synthetic2500_10_2.csv,0.6666666666666666,0.3333333333333333,1
Flow,synthetic2500_10_2.csv,1.0,0.0,1
Bin,synthetic2500_10_2.csv,1.0,0.0,1
OCT,synthetic2500_10_2.csv,1.0,0.0,1
Benders,synthetic2500_10_2.csv,1.0,0.0,2
Cart,synthetic2500_10_2.csv,0.6666666666666666,0.3333333333333333,2
Flow,synthetic2500_10_2.csv,1.0,0.0,2
Bin,synthetic2500_10_2.csv,1.0,0.0,2
